id,sampleSet,xMetres,zMetres,eastingMetres,northingMetres,runtimeHeightMetres,threeDepInspectedHeightMetres,threeDepEligible,threeDepReason,elevationBuilderBoundary0QueryPointLand,elevationBuilderBoundary0AllFour3depNeighbourCentersLand,elevationBuilderBoundary0LandMask,rawRuntimeMinus3depMetres
canonical-24m-10-3,canonical-24m-2x2,2160,1608,553280.064403468,4182969.9906375636,0,3.4589661373086376,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.4589661373086376
canonical-24m-11-3,canonical-24m-2x2,2184,1608,553304.0805167262,4182970.146118986,0,3.5356355222776954,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.5356355222776954
canonical-24m-12-3,canonical-24m-2x2,2208,1608,553328.0966302907,4182970.301670483,0,3.5791422940832587,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.5791422940832587
canonical-24m-13-3,canonical-24m-2x2,2232,1608,553352.1127441546,4182970.457292054,0,3.374952173172675,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.374952173172675
canonical-24m-14-3,canonical-24m-2x2,2256,1608,553376.1288583251,4182970.6129837,0,3.4813500677093594,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.4813500677093594
canonical-24m-15-3,canonical-24m-2x2,2280,1608,553400.1449727997,4182970.7687454196,0,3.888781082578998,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.888781082578998
canonical-24m-16-3,canonical-24m-2x2,2304,1608,553424.1610875787,4182970.9245772143,0,4.3112441632167116,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.3112441632167116
canonical-24m-17-3,canonical-24m-2x2,2328,1608,553448.1772026623,4182971.080479083,0,3.776815581662805,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.776815581662805
canonical-24m-18-3,canonical-24m-2x2,2352,1608,553472.1933180507,4182971.2364510265,0,3.746459128471539,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.746459128471539
canonical-24m-19-3,canonical-24m-2x2,2376,1608,553496.2094337438,4182971.392493044,-0.0010665019524858017,3.2252710328726155,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.226337534825101
canonical-24m-20-3,canonical-24m-2x2,2400,1608,553520.2255497419,4182971.5486051366,-0.010740004613296317,3.3640092959375596,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.3747493005508558
canonical-24m-21-3,canonical-24m-2x2,2424,1608,553544.2416660452,4182971.704787303,-0.032532460426115364,3.277995142355664,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.310527602781779
canonical-24m-22-3,canonical-24m-2x2,2448,1608,553568.2577826537,4182971.861039545,-0.14054808275234934,3.2618597718441524,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.4024078545965017
canonical-24m-23-3,canonical-24m-2x2,2472,1608,553592.2738995652,4182972.0173618603,-0.6046956927512744,3.077272063288393,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.6819677560396675
canonical-24m-24-3,canonical-24m-2x2,2496,1608,553616.2900167846,4182972.173754251,-0.8731125687632175,3.058648288928335,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.931760857691552
